,product_id,quantity,product_type,product,brand,price,category,uid,experiment_name,amount,survey_id,way_of_purchase
0,154,2.0,competitor,"Wahl Micro Groomsman Battery Personal Trimmer & Detailer for Hygienic Grooming with Rinseable, Interchangeable Heads for Eyebrows, Neckline, Nose, Ears, & Other Detailing - 05640-600",Wahl,9.99,Electric Shavers,2EomkuC68bA4PYNTmUJHVD,Control,19.98,5,not_buyer
1,45,1.0,competitor,WAHL Groomsman Corded or Cordless Beard Trimmer for Men - Rechargeable Grooming Kit for Facial Hair - Beard Trimmer & Groomer - Model 9918-6171V,Wahl,38.95,Electric Shavers,4bU7n5LmRGL50CeqE8KqnS,Experiment 2,38.95,5,from_page
2,38,1.0,competitor,"Remington Vacuum Beard Trimmer,13 Length and Style Settings with Adjustable Length Comb (2-18mm),Vacuum Trimmer for Beard, Mustache, and Stubble, Rechargeable Lithium Power, Washable, Removable Blades",Remington,59.99,Electric Shavers,6sUvzZchMSvNQome4l8TWJ,Experiment 2,59.99,5,from_page
3,32,1.0,competitor,"Braun All-in-One Style Kit Series 3 3430, 3-in-1 Trimmer for Men with Beard Trimmer, Ear & Nose Trimmer, Hair Clippers, Ultra-Sharp Blade, 20 Length Settings, Washable",Braun,24.94,Electric Shavers,4Qybj45NodYgpFC5qVndUq,Control,24.94,5,from_page
4,40,1.0,competitor,"Philips Norelco Beard Trimmer and Hair Clipper, Cordless Grooming, Rechargeable, Adjustable Length, Beard Trimmer And Hair Clipper, No Blade Oil Needed, BT3210/41",Philips,29.96,Electric Shavers,4Qybj45NodYgpFC5qVndUq,Control,29.96,5,from_page
5,150,1.0,competitor,"Philips Norelco Multigroomer All-in-One Trimmer Series 5000, 18 Piece Mens Grooming Kit, for Beard Face, Hair, Body Hair Trimmer for Men, No Blade Oil Needed, MG5750/49",Philips,39.96,Electric Shavers,3SgIWHPcApD96A2R3QvKP7,Experiment 2,39.96,5,from_page
6,29,1.0,competitor,"Dollar Shave Club | Double Header Trimmer | Electric Razor with a Beard Head & Separate Body Grooming Head | Waterproof Body Shaver & Beard Trimmer, Black",Dollar Shave Club,69.94,Electric Shavers,5jCzTkwgQgbHLZmBl6VPQf,Control,69.94,5,from_page
7,47,2.0,competitor,"Remington All-in-One Grooming Kit, Lithium Powered, 8 Piece Set with Trimmer, Men's Shaver, Clippers, Beard and Stubble Combs, Black",Remington,31.08,Electric Shavers,5hLQk1IoNww2RipvopLM5C,Experiment 2,62.16,5,not_buyer
8,30,2.0,competitor,WAHL Groomsman Battery Operated Facial Hair Trimmer for Beard & Mustache Trimming Including Light Detailing and Body Grooming – Model 9906-717V,Wahl,14.99,Electric Shavers,5cNwWB8CwF6EActob0HZoc,Control,29.98,5,from_page
9,152,1.0,competitor,"Wahl Clipper USA Deluxe Corded Chrome Pro, Complete Hair and Trimming Kit, Includes Corded Clipper, Cordless Battery Trimmer, and Styling Shears, for a Cut Every Time - Model 79524-5201M",Wahl,44.99,Electric Shavers,05Rjk8F5MJkUvSSN6RfdIV,Control,44.99,5,from_page
