,project_id,visitor_id,experiment_id,uid,status,is_mobile,created_at,experiment_name,platform
12,21,47730,48.0,0MYlALrrjPgtXrDoBHVNTn,complete,1,2023-12-05 15:52:49,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
14,21,47761,48.0,2rdvgh86e3dpuB8T9vlMR8,complete,1,2023-12-05 15:53:54,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
24,21,47931,48.0,2uUD0ysgEyfd1jMLmkYa5T,complete,1,2023-12-05 16:04:36,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
26,21,48010,48.0,0pHr6abchWOpiFlgeWVWoY,complete,1,2023-12-05 16:13:17,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
29,21,48126,48.0,6MwfXaG9efGcsOPttH7P7i,complete,0,2023-12-05 16:23:18,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
48,21,50213,48.0,0FVx39xgVjdw0uz56Ife4X,complete,1,2023-12-06 00:15:44,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
50,21,50273,48.0,2bUQRFhEi3fZtZzJydcHQq,complete,1,2023-12-06 00:49:50,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
55,21,50389,48.0,3l1WlMK3JW30SiBHSyGosR,complete,1,2023-12-06 01:44:59,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",mobile
93,21,51472,48.0,2mIfggZFmgcUhTaSa313es,complete,0,2023-12-06 12:58:50,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
114,21,52414,48.0,3rXCOsVpUEdYeteA1bFDAH,complete,0,2023-12-06 16:31:41,"Leg 2: Showcase randomly 5 PDP + RP. Video automatically loaded, need to whatch it until the end",desktop
